lat, long, sos
42.5874665, -122.8135640, 27
42.5874665, -122.8135640, 24
42.5874665, -122.8135640, 21
42.5874665, -122.8135640, 11
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 13
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 12
42.5874665, -122.8135640, 20
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 4
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 4
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 14
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 13
42.5874665, -122.8135640, 10
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 4
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 13
42.5874665, -122.8135640, 11
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 11
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 4
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 26
42.5874665, -122.8135640, 4
42.5874665, -122.8135640, 13
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 10
42.5874665, -122.8135640, 27
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 14
42.5874665, -122.8135640, 11
42.5874665, -122.8135640, 10
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 18
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 12
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 17
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 4
42.5874665, -122.8135640, 61
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 14
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 11
42.5874665, -122.8135640, 3
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 13
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 8
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 3
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 13
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 8
42.5874665, -122.8135640, 13
42.5874665, -122.8135640, 8
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 27
42.5874665, -122.8135640, 4
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 12
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 4
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 9
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 0
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 0
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 1
42.5874665, -122.8135640, 5
42.5874665, -122.8135640, 2
42.5874665, -122.8135640, 13
42.5874665, -122.8135640, 0
42.5874665, -122.8135640, 6
42.5874665, -122.8135640, 1
